Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,"
1987 [1987],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,..,..
1987 [1987],Canada,61.15591398,59.12575133,4.357171421,..,59.49174631,433144.0609,..,..,..,..,..,..,..,..,,,..,1.326343191,1.326343191,..
1987 [1987],China,..,28.45207403,7.249360213,..,28.29990672,..,..,..,..,..,..,..,..,..,,,..,3.731,3.731,..
1987 [1987],France,..,65.25497314,3.304534484,..,65.55098479,999232.3602,..,..,..,..,..,..,..,..,,,..,6.011002492,0.857833768,..
1987 [1987],Germany,..,63.65516001,0.183927561,..,63.80462261,1286345.688,..,..,..,..,..,..,..,..,,,..,1.797799732,0.857833768,78.79865224
1987 [1987],India,..,18.69449546,8.794978308,..,18.73893319,..,..,..,..,..,..,..,..,..,,,..,12.94892678,12.94892678,..
1987 [1987],Italy,..,47.44439521,4.701211551,..,47.51446132,642039.895,..,..,..,..,..,..,..,..,,,..,1296.666523,0.857833768,..
1987 [1987],Japan,89.48472642,88.7175362,0.124835403,..,88.99240856,2538700.218,..,..,..,..,..,..,..,..,,,..,144.6151028,144.6151028,49.042783
1987 [1987],United Kingdom,..,53.94384363,4.144621959,..,54.22173818,813924.6417,..,..,..,..,..,..,..,..,,,..,0.611708766,0.611708766,..
1987 [1987],United States,53.70627845,52.24043012,3.578211654,53.56179719,52.43738665,4855400,..,..,..,..,..,..,..,..,,,..,1,1,..
1987Q1 [1987Q1],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q1 [1987Q1],Canada,..,..,..,..,..,103187.3811,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q1 [1987Q1],China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q1 [1987Q1],France,..,..,..,..,..,238032.5647,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q1 [1987Q1],Germany,..,..,..,..,..,305662.5961,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q1 [1987Q1],India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q1 [1987Q1],Italy,..,..,..,..,..,150753.6914,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q1 [1987Q1],Japan,..,..,..,..,..,579842.6767,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q1 [1987Q1],United Kingdom,..,..,..,..,..,181757.968,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q1 [1987Q1],United States,..,..,..,..,..,1180600,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],Canada,..,..,..,..,..,106405.184,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],France,..,..,..,..,..,245966.2709,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],Germany,..,..,..,..,..,317778.1159,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],Italy,..,..,..,..,..,158086.2892,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],Japan,..,..,..,..,..,632959.6821,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],United Kingdom,..,..,..,..,..,200041.7602,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q2 [1987Q2],United States,..,..,..,..,..,1201600,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q3 [1987Q3],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q3 [1987Q3],Canada,..,..,..,..,..,109964.2,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q3 [1987Q3],China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q3 [1987Q3],France,..,..,..,..,..,245925.1686,..,..,..,..,..,..,..,..,,,..,..,..,..
1987Q3 [1987Q3],Germany,..,..,..,..,..,315525.684,..,..,..,..,..,..,..,..,,,..,..,..,..
