,Time,Country,"Core CPI,not seas.adj,,,","Core CPI / CPI, not seas. adj.","CPI Price, seas. adj.,,,",CPI seasonal / CPI not seasonal,"CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","Core CPI / CPI, seas. adj.",Core CPI Seasonal / Core CPI Not Seasonal,"CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$, Billions","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,",Industrial Production % of GDP,"Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,, (USD to EURO)","Retail Sales Volume,Index,,,",GDP to Unemployment Rate Correlaton,Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton
0,1987 [1987],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1987 [1987],Canada,61.15591398,1.027973084893631,59.12575133,0.9938479704715192,4.357171421,,,,59.49174631,433144.0609,,,,,,,,,,,,1.326343191,1.326343191,,,,
2,1987 [1987],China,,,28.45207403,1.0053769544721665,7.249360213,,,,28.29990672,,,,,,,,,,,,,3.731,3.731,,,,
3,1987 [1987],France,,,65.25497314,0.995484253196984,3.304534484,,,,65.55098479,999232.3602,,,,,,,,,,,,6.011002492,0.857833768,,,,
4,1987 [1987],Germany,,,63.65516001,0.997657495744257,0.183927561,,,,63.80462261,1286345.688,,,,,,,,,,,,1.797799732,0.857833768,78.79865224,,44.343705308846644,
5,1987 [1987],India,,,18.69449546,0.9976285880551772,8.794978308,,,,18.73893319,,,,,,,,,,,,,12.94892678,12.94892678,,,,
6,1987 [1987],Italy,,,47.44439521,0.9985253729484984,4.701211551,,,,47.51446132,642039.895,,,,,,,,,,,,1296.666523,0.857833768,,,,
7,1987 [1987],Japan,89.48472642,1.0055321332231173,88.7175362,0.996911283058322,0.124835403,,,,88.99240856,2538700.218,,,,,,,,,,,,144.6151028,144.6151028,49.042783,,40.66280567970157,
8,1987 [1987],United Kingdom,,,53.94384363,0.9948748498420048,4.144621959,,,,54.22173818,813924.6417,,,,,,,,,,,,0.611708766,0.611708766,,,,
9,1987 [1987],United States,53.70627845,1.0241982272775982,52.24043012,0.9962439674708692,3.578211654,53.56179719,1.0252939546432662,0.9973097882748568,52.43738665,4855400,,,,,,,,,,,,1,1,,,,
10,1987Q1 [1987Q1],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1987Q1 [1987Q1],Canada,,,,,,,,,,103187.3811,,,,,,,,,,,,,,,,,
12,1987Q1 [1987Q1],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1987Q1 [1987Q1],France,,,,,,,,,,238032.5647,,,,,,,,,,,,,,,,,
14,1987Q1 [1987Q1],Germany,,,,,,,,,,305662.5961,,,,,,,,,,,,,,,,,
15,1987Q1 [1987Q1],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1987Q1 [1987Q1],Italy,,,,,,,,,,150753.6914,,,,,,,,,,,,,,,,,
