,Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton,US Stock Market to Stock Market,US Unemployment as leading/trailing
0,0,1990M01 [1990M01],Canada,69.26523297,66.15411449,5.443176569,,66.63770634,29.54916729,14950.55657,7.9,,,9799.7,,10361.3,,1.170956522,1.170956522,,,-1.16238781851301,1.0,1.0
1,1,1990M01 [1990M01],France,,70.80586859,3.568402202,72.14992192,70.96912063,40.08614045,27115.98864,7.751851852,,,18190.0,,19238.15532,,5.759304348,0.812747126,,,-2.520196108237928,1.3565912046383086,0.9812470698734176
2,2,1990M01 [1990M01],Japan,93.75629406,92.88060983,3.322073281,,92.85714286,220.5665004,81913.34742,2.228274653,,,18279.47236,18274.3785,22627.0,18616.0,144.9513043,144.9513043,56.30577285,-2.4674885217019398,7.811685180387294,7.46438971478712,0.28206008265822785
3,3,1990M01 [1990M01],United Kingdom,,61.16888278,5.751455789,,61.02837364,43.75144547,35395.88835,6.9,,,28769.06022,,14113.0,,0.605789687,0.605789687,,,-0.8171828886733506,1.4806320949966776,0.8734177215189873
4,4,1990M01 [1990M01],United States,59.97655462,58.62392408,5.198019802,59.87318307,58.79448236,25.58663134,78015.76502,5.4,,,42103.49515,40303.8,31613.2,30664.1,1.0,1.0,59.4823384,-0.8908684730657302,-1.3438621494507677,0.8659002498746895,0.6835443037974683
5,5,1990M02 [1990M02],Canada,69.62365591,66.6040016,5.427620847,,67.07211121,27.8398309,12971.7622,7.7,,,10224.9,10643.0,10359.9,11694.0,1.19665,1.19665,,,-1.2001068605570144,0.9421528067703461,0.9746835443037974
6,6,1990M02 [1990M02],France,,70.80586859,3.506002434,72.25403436,71.11870926,38.41988327,27644.11366,7.696296296,,,17806.0,19365.51531,18530.90452,19755.90641,5.68965,0.803749752,,,-2.7470716367361794,1.3002018937772917,0.9742147210126582
7,7,1990M02 [1990M02],Germany,,67.42179072,2.6272578,70.87794433,67.6056338,,67373.0115,3.939251752,,,28625.00734,27993.7878,33665.4572,32685.0,1.67595,0.803749752,91.20479795,0.4576516231007258,,,0.498639462278481
8,8,1990M02 [1990M02],Japan,93.55488419,93.29809072,3.805178711,,92.96066253,214.169694,79637.44681,2.224679151,,,18328.14888,16951.39418,22958.0,21895.0,145.641,145.641,56.91992866,-1.747045673719296,4.870330566674276,7.247909624596396,0.28160495582278483
9,9,1990M02 [1990M02],United Kingdom,,61.49535469,5.898378234,,61.36995036,43.49676491,35388.73622,6.9,,,28537.43944,16644.0,14337.0,14916.0,0.589366122,0.589366122,,,-0.7869585788292681,,1.6848310215904847
