Time,Country,"Core CPI,not seas.adj,,,","Core CPI / CPI, not seas. adj.","CPI Price, seas. adj.,,,",CPI seasonal / CPI not seasonal,"CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","Core CPI / CPI, seas. adj.",Core CPI Seasonal / Core CPI Not Seasonal,"CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$, Billions","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,",Industrial Production % of GDP,"Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,, (USD to EURO)","Retail Sales Volume,Index,,,",GDP to Unemployment Rate Correlaton,Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton,US Stock Market to Stock Market,Import/Export,Retail Sales,Industrial Production GDP,Core CPI,Export/Import,US Unemployment as leading/trailing
1987 [1987],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987 [1987],Canada,61.15591398,1.027973085,59.12575133,0.99384797,4.357171421,,,,59.49174631,433144.0609,,,,,,,,,,,,1.326343191,1.326343191,,,,,,,,,,,
1987 [1987],China,,,28.45207403,1.005376954,7.249360213,,,,28.29990672,,,,,,,,,,,,,3.731,3.731,,,,,,,,,,,
1987 [1987],France,,,65.25497314,0.995484253,3.304534484,,,,65.55098479,999232.3602,,,,,,,,,,,,6.011002492,0.857833768,,,,,,,,,,,
1987 [1987],Germany,,,63.65516001,0.997657496,0.183927561,,,,63.80462261,1286345.688,,,,,,,,,,,,1.797799732,0.857833768,78.79865224,,0.454401398,,,,,,,,
1987 [1987],India,,,18.69449546,0.997628588,8.794978308,,,,18.73893319,,,,,,,,,,,,,12.94892678,12.94892678,,,,,,,,,,,
1987 [1987],Italy,,,47.44439521,0.998525373,4.701211551,,,,47.51446132,642039.895,,,,,,,,,,,,1296.666523,0.857833768,,,,,,,,,,,
1987 [1987],Japan,89.48472642,1.005532133,88.7175362,0.996911283,0.124835403,,,,88.99240856,2538700.218,,,,,,,,,,,,144.6151028,144.6151028,49.042783,,1.855732405,,,,,,,,
1987 [1987],United Kingdom,,,53.94384363,0.99487485,4.144621959,,,,54.22173818,813924.6417,,,,,,,,,,,,0.611708766,0.611708766,,,,,,,,,,,
1987 [1987],United States,53.70627845,1.024198227,52.24043012,0.996243967,3.578211654,53.56179719,1.025293955,0.997309788,52.43738665,4855400,,,,,,,,,,,,1,1,,,,,,,,,,,
1987Q1 [1987Q1],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q1 [1987Q1],Canada,,,,,,,,,,103187.3811,,,,,,,,,,,,,,,,,,,,,,,,
1987Q1 [1987Q1],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q1 [1987Q1],France,,,,,,,,,,238032.5647,,,,,,,,,,,,,,,,,,,,,,,,
1987Q1 [1987Q1],Germany,,,,,,,,,,305662.5961,,,,,,,,,,,,,,,,,,,,,,,,
1987Q1 [1987Q1],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q1 [1987Q1],Italy,,,,,,,,,,150753.6914,,,,,,,,,,,,,,,,,,,,,,,,
1987Q1 [1987Q1],Japan,,,,,,,,,,579842.6767,,,,,,,,,,,,,,,,,,,,,,,,
1987Q1 [1987Q1],United Kingdom,,,,,,,,,,181757.968,,,,,,,,,,,,,,,,,,,,,,,,
1987Q1 [1987Q1],United States,,,,,,,,,,1180600,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],Canada,,,,,,,,,,106405.184,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],France,,,,,,,,,,245966.2709,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],Germany,,,,,,,,,,317778.1159,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],Italy,,,,,,,,,,158086.2892,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],Japan,,,,,,,,,,632959.6821,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],United Kingdom,,,,,,,,,,200041.7602,,,,,,,,,,,,,,,,,,,,,,,,
1987Q2 [1987Q2],United States,,,,,,,,,,1201600,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],Canada,,,,,,,,,,109964.2,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],France,,,,,,,,,,245925.1686,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],Germany,,,,,,,,,,315525.684,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],Italy,,,,,,,,,,158150.8302,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],Japan,,,,,,,,,,628146.8989,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],United Kingdom,,,,,,,,,,205107.2358,,,,,,,,,,,,,,,,,,,,,,,,
1987Q3 [1987Q3],United States,,,,,,,,,,1221200,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],Canada,,,,,,,,,,113587.2957,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],France,,,,,,,,,,269308.3561,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],Germany,,,,,,,,,,347379.2924,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],Italy,,,,,,,,,,175049.0842,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],Japan,,,,,,,,,,697750.9604,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],United Kingdom,,,,,,,,,,227017.6777,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],United States,,,,,,,,,,1252000,,,,,,,,,,,,,,,,,,,,,,,,
1988 [1988],Brazil,,,1.18E-05,1.063063063,,,,,1.11E-05,,,,,,,,,,,,,,,,,,,,,,,,,
