,Time,Country,"CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, % y-o-y, not seas. adj.,,","CPI Price, seas. adj.,,,","CPI Price,not seas.adj,,,","Core CPI,not seas.adj,,,","Core CPI,seas.adj,,,","Exchange rate, new LCU per USD extended backward, period average,,","Exchange rate, old LCU per USD extended forward, period average,,","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, Price, US$, seas. adj.","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","GDP,constant 2010 US$,millions,seas. adj.,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Retail Sales Volume,Index,,,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,"
0,1987M01 [1987M01],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987M01 [1987M01],Canada,59.76702509,..,57.83766154,4.044745582,..,58.21025195,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.361590909,1.361590909,..
0,1987M01 [1987M01],China,..,..,27.46926671,5.289709487,..,27.84514925,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.731,3.731,..
0,1987M01 [1987M01],France,..,..,64.64087774,3.039856295,..,64.76119244,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.206340909,0.88553935,..
0,1987M01 [1987M01],Germany,..,..,63.43042071,-0.84317032,66.70235546,63.70530878,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.862,0.88553935,74.33702217
0,1987M01 [1987M01],India,..,..,17.9466111,9.452598263,..,17.8760408,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.03681818,13.03681818,..
0,1987M01 [1987M01],Italy,..,..,46.30074355,4.162225884,..,46.4208243,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1317.575455,0.88553935,..
0,1987M01 [1987M01],Japan,88.51963746,..,88.10178136,-0.999068416,..,88.0952381,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,154.9222727,154.9222727,44.78764446
0,1987M01 [1987M01],United Kingdom,..,..,53.43255498,3.923846494,..,53.34724643,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.664596958,0.664596958,..
0,1987M01 [1987M01],United States,52.61579564,..,51.2212168,1.364877161,52.53067311,51.3182609,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,51.16343621
0,1987M02 [1987M02],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987M02 [1987M02],Canada,60.03584229,..,58.10797217,4.00751831,..,58.47089487,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3345,1.3345,..
0,1987M02 [1987M02],China,..,..,27.56818509,5.594787051,..,27.54197761,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.731,3.731,..
0,1987M02 [1987M02],France,..,..,64.61400349,3.293437086,..,64.84667165,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.075875,0.86957043,..
0,1987M02 [1987M02],Germany,..,..,63.43042071,-0.507614213,66.70235546,63.81365114,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8244,0.86957043,75.52861439
0,1987M02 [1987M02],India,..,..,18.01923346,8.455042804,..,17.86771227,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.061,13.061,..
0,1987M02 [1987M02],Italy,..,..,46.5006579,4.408869198,..,46.7462039,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1299.589,0.86957043,..
0,1987M02 [1987M02],Japan,88.51963746,..,88.41247606,-0.929298281,..,88.0952381,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,153.4215,153.4215,44.45837886
0,1987M02 [1987M02],United Kingdom,..,..,53.64828012,3.931458212,..,53.55711715,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.654605759,0.654605759,..
0,1987M02 [1987M02],United States,52.75210599,..,51.405135,1.914311759,52.66664552,51.50285896,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,53.43869151
0,1987M03 [1987M03],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987M03 [1987M03],Canada,60.3046595,..,58.35224037,3.96895797,..,58.64465682,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.319545455,1.319545455,..
0,1987M03 [1987M03],China,..,..,27.79995247,6.089405636,..,28.09001866,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.731,3.731,..
0,1987M03 [1987M03],France,..,..,64.53561694,3.344453941,..,64.93215087,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.109318182,0.87435817,..
0,1987M03 [1987M03],Germany,..,..,63.43042071,-0.169779287,66.70235546,63.81365114,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.835681818,0.87435817,74.70366593
0,1987M03 [1987M03],India,..,..,18.07362792,7.47823957,..,17.90143054,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.92863636,12.92863636,..
