,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","GDP,constant 2010 US$,millions,seas. adj.,","Exports Merchandise, Customs, Price, US$, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,"
0,1987 [1987],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987 [1987],Canada,61.15591398,..,59.12575133,4.357171421,..,59.49174631,574336,433144.0609,..,..,..,..,..,..,..,..,..,..,..,..,935435.0154,..,1020643.25,..,..,..,..,..,1.326343191,1.326343191,..
0,1987 [1987],China,..,..,28.45207403,7.249360213,..,28.29990672,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.731,3.731,..
0,1987 [1987],France,..,..,65.25497314,3.304534484,..,65.55098479,856062,999232.3602,..,..,..,..,..,..,..,..,..,..,..,..,1749469.347,..,1316232,..,..,..,..,..,6.011002492,0.857833768,..
0,1987 [1987],Germany,..,..,63.65516001,0.183927561,..,63.80462261,1101980,1286345.688,..,..,..,..,..,..,..,..,..,..,..,..,2363747.716,..,1851010,..,..,..,..,..,1.797799732,0.857833768,78.79865224
0,1987 [1987],India,..,..,18.69449546,8.794978308,..,18.73893319,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.94892678,12.94892678,..
0,1987 [1987],Italy,..,..,47.44439521,4.701211551,..,47.51446132,549927,642039.895,..,..,..,..,..,..,..,..,..,..,..,..,1674018.829,..,1291090,..,..,..,..,..,1296.666523,0.857833768,..
0,1987 [1987],Japan,89.48472642,..,88.7175362,0.124835403,..,88.99240856,366080400,2538700.218,..,..,..,..,..,..,..,..,..,..,..,..,3904386.339,..,345508100,..,..,..,..,..,144.6151028,144.6151028,49.042783
0,1987 [1987],United Kingdom,..,..,53.94384363,4.144621959,..,54.22173818,496124,813924.6417,..,..,..,..,..,..,..,..,..,..,..,..,1512659.712,..,1076004,..,..,..,..,..,0.611708766,0.611708766,..
0,1987 [1987],United States,53.70627845,..,52.24043012,3.578211654,53.56179719,52.43738665,4855400,4855400,..,..,..,..,..,..,..,..,..,..,..,..,8128146.878,..,8511100,..,..,..,..,..,1,1,..
0,1987Q1 [1987Q1],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q1 [1987Q1],Canada,..,..,..,..,..,..,138121,103187.3811,..,..,..,..,..,..,..,..,..,..,..,..,229112.2937,..,249982,..,..,..,..,..,..,..,..
0,1987Q1 [1987Q1],China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q1 [1987Q1],France,..,..,..,..,..,..,208633,238032.5647,..,..,..,..,..,..,..,..,..,..,..,..,430248.4112,..,323702,..,..,..,..,..,..,..,..
0,1987Q1 [1987Q1],Germany,..,..,..,..,..,..,267910,305662.5961,..,..,..,..,..,..,..,..,..,..,..,..,576822.839,..,451700,..,..,..,..,..,..,..,..
0,1987Q1 [1987Q1],India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q1 [1987Q1],Italy,..,..,..,..,..,..,132134,150753.6914,..,..,..,..,..,..,..,..,..,..,..,..,412093.701,..,317828,..,..,..,..,..,..,..,..
0,1987Q1 [1987Q1],Japan,..,..,..,..,..,..,88866100,579842.6767,..,..,..,..,..,..,..,..,..,..,..,..,947094.9067,..,83810600,..,..,..,..,..,..,..,..
0,1987Q1 [1987Q1],United Kingdom,..,..,..,..,..,..,117978,181757.968,..,..,..,..,..,..,..,..,..,..,..,..,368484.5041,..,262115,..,..,..,..,..,..,..,..
0,1987Q1 [1987Q1],United States,..,..,..,..,..,..,1180600,1180600,..,..,..,..,..,..,..,..,..,..,..,..,1998348.902,..,2092500,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],Canada,..,..,..,..,..,..,141855,106405.184,..,..,..,..,..,..,..,..,..,..,..,..,232071.492,..,253210.75,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],France,..,..,..,..,..,..,212027,245966.2709,..,..,..,..,..,..,..,..,..,..,..,..,435059.933,..,327322,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],Germany,..,..,..,..,..,..,273930,317778.1159,..,..,..,..,..,..,..,..,..,..,..,..,589873.8229,..,461920,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],Italy,..,..,..,..,..,..,136273,158086.2892,..,..,..,..,..,..,..,..,..,..,..,..,418331.6121,..,322639,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],Japan,..,..,..,..,..,..,90288100,632959.6821,..,..,..,..,..,..,..,..,..,..,..,..,965126.9855,..,85406300,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],United Kingdom,..,..,..,..,..,..,121823,200041.7602,..,..,..,..,..,..,..,..,..,..,..,..,373889.8526,..,265960,..,..,..,..,..,..,..,..
0,1987Q2 [1987Q2],United States,..,..,..,..,..,..,1201600,1201600,..,..,..,..,..,..,..,..,..,..,..,..,2019932.026,..,2115100,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],Canada,..,..,..,..,..,..,145420,109964.2,..,..,..,..,..,..,..,..,..,..,..,..,235603.7414,..,257064.75,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],France,..,..,..,..,..,..,215508,245925.1686,..,..,..,..,..,..,..,..,..,..,..,..,438570.2173,..,329963,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],Germany,..,..,..,..,..,..,276500,315525.684,..,..,..,..,..,..,..,..,..,..,..,..,593743.1459,..,464950,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],Italy,..,..,..,..,..,..,138590,158150.8302,..,..,..,..,..,..,..,..,..,..,..,..,419538.7406,..,323570,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],Japan,..,..,..,..,..,..,92306000,628146.8989,..,..,..,..,..,..,..,..,..,..,..,..,982876.5538,..,86977000,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],United Kingdom,..,..,..,..,..,..,126797,205107.2358,..,..,..,..,..,..,..,..,..,..,..,..,382974.212,..,272422,..,..,..,..,..,..,..,..
0,1987Q3 [1987Q3],United States,..,..,..,..,..,..,1221200,1221200,..,..,..,..,..,..,..,..,..,..,..,..,2037408.625,..,2133400,..,..,..,..,..,..,..,..
0,1987Q4 [1987Q4],Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q4 [1987Q4],Canada,..,..,..,..,..,..,148940,113587.2957,..,..,..,..,..,..,..,..,..,..,..,..,238647.4883,..,260385.75,..,..,..,..,..,..,..,..
